date,tid,price,type,amount
1528252216,67778438,7605.54,0,0.0060445
1528252214,67778437,7605.54,0,0.09339379
1528252211,67778436,7605.54,0,0.00196756
1528252181,67778433,7601.97,1,0.0093356
1528252176,67778430,7609.09,0,0.033426
1528252156,67778427,7609.09,0,0.00086145
1528252156,67778426,7609.09,0,0.19665485
1528252151,67778423,7601.34,1,0.11426368
1528252143,67778419,7608.38,1,0.51
1528252142,67778417,7601.3,1,0.29974547
1528252142,67778416,7601.3,0,0.00410647
1528252141,67778415,7601.32,1,0.3
1528252141,67778414,7602.86,1,0.053
1528252141,67778413,7602.86,1,0.053
1528252141,67778412,7602.86,1,0.053
1528252141,67778411,7602.86,1,0.49435758
1528252141,67778410,7602.86,1,0.00934458
1528252141,67778409,7602.86,1,0.01
1528252140,67778408,7604.58,0,0.07936064
1528252139,67778407,7604.58,1,0.06068526
1528252130,67778403,7605.68,1,0.00941372
1528252128,67778401,7612.98,0,0.01244716
1528252120,67778399,7612.98,0,0.01136419
1528252116,67778398,7612.35,0,0.0414402
1528252116,67778397,7611.99,0,0.00243004
1528252116,67778396,7611.99,0,0.00256154
1528252115,67778395,7611.99,0,0.0024301
1528252115,67778394,7611.99,0,0.00413812
1528252100,67778393,7608,0,0.002
1528252100,67778392,7607.99,0,0.00164283
1528252095,67778391,7612.36,1,0.01
1528252090,67778385,7609.71,1,0.00261152
1528252090,67778384,7608.56,0,3
1528252085,67778374,7612.57,0,0.0521462
1528252085,67778373,7611.99,0,0.0008538
1528252081,67778371,7610.54,0,0.053
1528252078,67778370,7610.54,0,0.053
1528252074,67778369,7610.54,0,0.053
1528252070,67778368,7610.54,0,0.053
1528252066,67778365,7610.54,0,0.053
1528252060,67778364,7610.54,0,0.14749298
1528252053,67778362,7610.54,0,0.053
1528252050,67778361,7610.54,0,0.053
1528252045,67778360,7610.54,0,0.053
1528252042,67778358,7610.54,0,0.00099644
1528252042,67778357,7610.54,0,0.053
1528252040,67778355,7610.54,0,0.00099644
1528252038,67778354,7610.54,0,0.053
1528252035,67778353,7610.54,0,0.053
1528252034,67778352,7605.61,1,0.01178593
1528252017,67778344,7613.12,1,0.00100894
1528252015,67778342,7613.12,0,0.00099609
1528252012,67778340,7613.12,0,0.00199218
1528251996,67778339,7613.13,0,0.00162052
1528251994,67778338,7605.58,1,0.15221506
1528251993,67778336,7613.12,0,0.00099609
1528251990,67778334,7613.12,0,0.00099609
1528251986,67778331,7613.13,0,0.00199218
1528251984,67778330,7613.13,0,0.10660688
1528251968,67778328,7613.13,0,0.00099573
1528251965,67778326,7615.9,0,0.002
1528251962,67778325,7615.9,0,0.00099572
1528251954,67778324,7607.56,1,0.0338922
1528251949,67778322,7615.9,0,0.00098287
1528251948,67778321,7615.9,0,0.00650425
1528251940,67778320,7615.9,0,0.0948
1528251933,67778318,7608.36,1,0.01370301
1528251923,67778317,7615.9,0,0.00491385
1528251913,67778315,7615.9,0,0.01966022
1528251908,67778309,7608.29,1,0.01515403
1528251904,67778308,7616.1,1,2.94104758
1528251890,67778307,7616.46,1,0.92778797
1528251889,67778306,7616.46,0,0.07221203
1528251889,67778305,7613.21,0,0.0748
1528251875,67778299,7614.49,0,0.05164785
1528251864,67778296,7610.68,1,0.10208968
1528251864,67778295,7610.69,1,0.05634116
1528251853,67778294,7610.69,1,0.03967732
1528251853,67778293,7610.69,1,0.07137004
1528251852,67778292,7610.69,1,0.149
1528251848,67778290,7616.47,0,0.00098283
1528251828,67778279,7610.67,1,0.01791661
1528251812,67778275,7610.67,1,0.03181977
1528251802,67778273,7610.67,1,0.02502984
1528251797,67778271,7616.89,0,0.02501754
1528251782,67778268,7616.89,0,0.0233904
1528251747,67778261,7616.89,0,0.00090781
1528251737,67778260,7616.89,0,0.01024637
1528251727,67778252,7616.89,0,0.00281635
1528251711,67778249,7616.89,0,0.27233337
1528251701,67778246,7616.89,0,0.00246007
1528251694,67778242,7616.89,0,0.053
1528251690,67778241,7616.9,0,0.053
1528251687,67778240,7616.9,0,0.00239428
1528251687,67778239,7616.67,0,0.05060572
1528251684,67778238,7616.67,0,0.02439428
1528251684,67778237,7614.99,0,0.00203545
1528251684,67778236,7614.99,0,0.00426763
1528251684,67778235,7614.99,0,0.00150984
1528251684,67778234,7614.99,0,0.00137884
