"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"1","IDR",107902000,1528252552,106510992.820167,107167000,409.51735295,107168000,105300000,88561,107167000,106510992.820167,"btcoidIDR",43618099839.7914
"2","USD",24147.01,1528251291,7976.15219339941,38075.5,187.4590311,1400,5596.71,88561,11035.32,7976.15219339941,"localbtcUSD",1495201.76208079
"3","EUR",6542.42,1528252408,6434.68747606305,6510.75,2439.27357,6514.28,6335.72,88561,6514.28,6434.68747606305,"zyadoEUR",15695963.0915706
"4","HKD",NA,1373462347,NA,NA,0,NA,NA,88381,572,NA,"btchkexHKD",0
"5","USD",NA,1380074510,NA,NA,0,NA,NA,88381,125,NA,"bitboxUSD",0
"6","PLN",NA,1384760374,NA,NA,0,NA,NA,88381,1751,NA,"bidxtrmPLN",0
"7","USD",NA,1317843215,NA,NA,0,NA,NA,88381,4.75,NA,"b7USD",0
"8","BRL",NA,1320965054,NA,NA,0,NA,NA,88381,18,NA,"bbmBRL",0
"9","AUD",NA,1353317656,NA,NA,0,NA,NA,88381,22,NA,"cryptoxAUD",0
"10","AUD",NA,1318748737,NA,NA,0,NA,NA,88381,4.25,NA,"ruxumAUD",0
"11","CHF",NA,1318992534,NA,NA,0,NA,NA,88381,3,NA,"ruxumCHF",0
"12","EUR",NA,1338569911,NA,NA,0,NA,NA,88381,5,NA,"ruxumEUR",0
"13","GBP",NA,1318792662,NA,NA,0,NA,NA,88381,2.5,NA,"ruxumGBP",0
"14","HKD",NA,1318797312,NA,NA,0,NA,NA,88381,29,NA,"ruxumHKD",0
"15","USD",NA,1364508415,NA,NA,0,NA,NA,88381,86,NA,"bitmeUSD",0
"16","USD",NA,1353314729,NA,NA,0,NA,NA,88381,13.35,NA,"cryptoxUSD",0
"17","DKK",54360.24,1528230771,52335.7923149816,86099.23,0.31497602,53449.24,46203.66,88381,47520.14,52335.7923149816,"localbtcDKK",16484.5195669195
"18","PLN",30816.27,1528223146,30339.3992532382,29214.99,0.21424287,29016,28263.66,88381,30566.91,30339.3992532382,"localbtcPLN",6499.9999700896
"19","GAU",NA,1313452498,NA,NA,0,NA,NA,88381,0.2,NA,"bcmPXGAU",0
"20","USD",NA,1366236000,NA,NA,0,NA,NA,88381,100,NA,"bitfloorUSD",0
"21","PLN",NA,1313056551,NA,NA,0,NA,NA,88381,29.2,NA,"bitomatPLN",0
"22","GBP",NA,1316391901,NA,NA,0,NA,NA,88381,3.6627,NA,"britcoinGBP",0
"23","USD",NA,1365846822,NA,NA,0,NA,NA,88381,73,NA,"btc24USD",0
"24","EUR",NA,1305076646,NA,NA,0,NA,NA,88381,3.9,NA,"btcexEUR",0
"25","JPY",NA,1299369401,NA,NA,0,NA,NA,88381,1,NA,"btcexJPY",0
"26","RUB",NA,1305230002,NA,NA,0,NA,NA,88381,199,NA,"btcexRUB",0
"27","USD",NA,1342942225,NA,NA,0,NA,NA,88381,6.8011,NA,"btcexUSD",0
