V1,Average Value of bitstampUSD Buys
9/13/2011,5.874166667
9/14/2011,5.582142857
9/15/2011,5.12
9/16/2011,4.835
9/17/2011,4.87
9/18/2011,4.84
9/19/2011,4.9
9/20/2011,5.408235294
9/21/2011,5.726
9/22/2011,5.694
9/23/2011,5.71
9/24/2011,5.723571429
9/25/2011,6.05
9/26/2011,5.905454545
9/27/2011,4.875
9/28/2011,4.868571429
9/29/2011,4.816666667
9/30/2011,4.848333333
10/1/2011,4.88625
10/2/2011,5.181333333
10/3/2011,4.912142857
10/4/2011,4.674285714
10/5/2011,4.435
10/6/2011,3.89
10/7/2011,4.302
10/8/2011,4.0225
10/9/2011,3.948
10/10/2011,3.951
10/11/2011,4.05
10/12/2011,3.92
10/13/2011,2.256
10/14/2011,2.24
10/15/2011,2.955
10/16/2011,2.693333333
10/17/2011,2.77
10/18/2011,3.9575
10/19/2011,4.058333333
10/20/2011,3.534
10/21/2011,3.281428571
10/22/2011,3.325
10/23/2011,3.342727273
10/24/2011,3.11
10/25/2011,2.95
10/26/2011,3.08
10/27/2011,3.222
10/28/2011,3.23125
10/29/2011,3.3
10/30/2011,3.35
10/31/2011,3.35
11/1/2011,2.678666667
11/2/2011,2.87
11/3/2011,2.755
11/4/2011,2.7475
11/5/2011,2.5725
11/6/2011,2.4625
11/7/2011,2.37
11/8/2011,2.468333333
11/9/2011,2.544
11/10/2011,2.748
11/11/2011,4.787692308
11/12/2011,2.77
11/13/2011,2.695
11/14/2011,2.916
11/15/2011,3.19
11/16/2011,3.42
11/17/2011,3.158
11/18/2011,2.93
11/19/2011,2.917777778
11/20/2011,3.011538462
11/21/2011,3.135909091
11/22/2011,3.198571429
11/23/2011,3.15
11/24/2011,3.233571429
11/25/2011,3.52
11/26/2011,3.387142857
11/27/2011,3.45
11/28/2011,3.43
11/29/2011,3.4
11/30/2011,3.375
12/1/2011,3.776666667
12/2/2011,4.6025
12/3/2011,4.38
12/4/2011,4.176666667
12/5/2011,4.183333333
12/6/2011,4.33
12/7/2011,4.3075
12/8/2011,4.29
12/9/2011,4.298
12/10/2011,4.28625
12/11/2011,4.366666667
12/12/2011,4.278
12/13/2011,4.493333333
12/14/2011,4.806666667
12/15/2011,5
12/16/2011,5.2525
12/17/2011,5.315
12/18/2011,6.186896552
12/19/2011,6.50047619
12/20/2011,6.8
12/21/2011,6.95
12/22/2011,6.600769231
12/23/2011,6.611212121
12/24/2011,7.12372549
12/25/2011,7.098571429
12/26/2011,7.008444444
12/27/2011,6.425
12/28/2011,7.15
12/29/2011,6.7625
12/30/2011,6.148148148
12/31/2011,6.242340426
1/1/2012,6.163333333
1/2/2012,6.841666667
1/3/2012,6.371666667
1/4/2012,6.55
1/5/2012,6.41
1/6/2012,6.495555556
1/7/2012,6.331707317
1/8/2012,6.172631579
1/9/2012,5.683095238
1/10/2012,4.91
1/11/2012,5.728333333
1/12/2012,5.545
1/13/2012,5.75976378
1/14/2012,5.780833333
1/15/2012,6.188369565
1/16/2012,6.2275
1/17/2012,6.143809524
1/18/2012,5.841724138
1/19/2012,5.534166667
1/20/2012,5.679411765
1/21/2012,5.7225
1/22/2012,5.773703704
1/23/2012,5.878431373
1/24/2012,5.57
1/25/2012,5.6375
1/26/2012,5.680434783
1/27/2012,5.17625
1/28/2012,4.965384615
1/29/2012,4.580877193
1/30/2012,4.705660377
1/31/2012,4.389318182
2/1/2012,4.331818182
2/2/2012,4.547735849
2/3/2012,4.485740741
2/4/2012,4.54
2/5/2012,4.917676768
2/6/2012,5.13875
2/7/2012,5.049090909
2/8/2012,4.932727273
